name,theme,overall,C,PF,SF,SG,PG,position,height,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,overall_durability,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,pick_and_roll_defense_iq,lateral_quickness,pass_perception,reaction_time,steal,block,shot_contest,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential
Anthony Davis,'20 NBA,90,1,0,0,0,0,C,82,86,76,72,98,75,94,90,91,82,86,85,86,86,94,75,74,82,83,93,92,80,63,61,56,64,68,86,60,91,95,67,78,97,62,84,96,91,80,85,98,96
Giannis Antetokounmpo,'20 NBA,90,0,0,1,0,0,SF,83,60,67,62,98,67,92,92,79,85,85,77,70,68,89,84,81,79,64,92,89,95,80,80,75,69,84,80,85,83,89,85,82,90,64,74,91,84,63,85,95,98
LeBron James,'20 NBA,90,0,0,1,0,0,SF,80,76,79,69,98,61,90,90,67,77,83,81,70,82,90,81,79,81,81,91,87,99,80,78,82,78,90,73,79,82,89,80,89,96,41,45,95,42,32,71,98,99
Kawhi Leonard,'20 NBA,90,0,0,1,0,0,SF,79,83,78,74,96,76,89,84,46,77,79,76,41,79,89,76,72,70,66,85,89,79,74,77,70,54,69,70,83,88,97,83,88,88,83,41,96,89,36,63,95,98
James Harden,'20 NBA,90,0,0,0,1,0,SG,77,85,80,79,98,82,93,92,29,78,85,70,54,78,92,83,83,81,68,92,91,99,83,91,76,80,92,56,64,57,70,69,76,90,77,50,75,59,31,63,98,96
Paul George,'20 NBA,90,0,0,1,0,0,SF,81,65,72,77,97,77,91,83,48,78,77,71,33,67,88,72,72,81,58,90,83,85,72,79,71,59,68,72,84,87,94,84,85,94,82,43,92,88,36,68,95,93
Kevin Durant,'20 NBA,90,0,0,1,0,0,SF,81,85,85,80,97,83,92,88,54,79,64,74,64,82,85,74,74,71,57,88,69,84,74,80,69,67,72,62,80,79,89,81,69,76,31,60,90,79,26,63,98,98
Stephen Curry,'20 NBA,90,0,0,0,0,1,PG,75,86,84,86,98,86,93,92,25,31,84,30,30,47,92,79,86,68,43,93,93,90,79,92,88,67,92,25,70,73,80,76,80,97,51,42,77,60,31,56,95,95
Damian Lillard,'20 NBA,89,0,0,0,0,1,PG,75,79,87,81,98,87,95,93,25,82,87,39,27,35,92,84,85,86,60,94,92,98,84,89,91,78,92,25,66,69,72,74,74,70,40,47,78,52,35,49,98,92
Joel Embiid,'20 NBA,88,1,0,0,0,0,C,84,79,72,69,98,77,95,77,87,77,87,87,87,85,92,64,60,65,91,90,92,68,58,47,37,64,55,87,57,90,88,61,61,78,34,79,96,87,71,87,98,92
Kyrie Irving,'20 NBA,88,0,0,0,0,1,PG,75,81,86,79,90,83,91,92,25,26,78,60,31,66,92,81,86,77,33,93,83,89,81,95,81,76,83,28,69,71,74,73,82,82,62,49,74,66,37,53,95,91
Russell Westbrook,'20 NBA,87,0,0,0,0,1,PG,75,55,73,66,98,61,93,91,25,85,85,68,40,71,93,86,86,87,70,93,93,95,86,86,73,88,90,37,78,81,85,82,80,94,71,46,86,80,40,85,95,92
Karl-Anthony Towns,'20 NBA,87,1,0,0,0,0,C,84,88,79,82,98,82,96,83,93,68,82,88,84,82,96,74,74,68,78,96,88,82,64,63,58,63,70,72,48,77,74,59,58,81,39,79,81,58,80,88,98,93
Nikola Jokic,'20 NBA,87,1,0,0,0,0,C,84,87,87,74,98,79,95,79,82,67,87,87,87,87,92,60,59,60,86,92,92,85,57,62,77,80,93,67,48,76,70,34,70,78,60,55,79,52,76,87,98,92
Klay Thompson,'20 NBA,87,0,0,0,1,0,SG,79,85,85,87,93,79,87,83,32,62,58,71,32,75,87,68,71,64,59,88,82,95,68,73,74,38,77,61,87,87,90,87,85,92,40,52,91,92,30,47,95,89
Blake Griffin,'20 NBA,86,0,1,0,0,0,PF,82,85,43,78,94,73,96,81,96,88,86,83,77,77,93,66,69,88,92,93,93,90,64,73,73,71,72,76,57,70,71,63,68,86,35,45,72,63,42,74,95,88
Jimmy Butler,'20 NBA,86,0,0,1,0,0,SF,80,67,68,70,90,80,84,84,34,74,54,66,43,69,87,78,72,72,59,89,91,80,76,73,69,60,72,64,85,83,90,84,82,90,77,47,89,84,48,45,95,88
Donovan Mitchell,'20 NBA,86,0,0,0,1,0,SG,75,81,87,77,96,78,92,89,47,87,79,35,25,41,77,87,87,94,57,86,87,80,80,83,72,67,79,45,76,76,79,84,77,79,56,44,84,72,34,48,95,91
Kemba Walker,'20 NBA,86,0,0,0,0,1,PG,73,69,88,77,98,82,96,85,25,28,79,33,26,58,86,83,88,79,48,91,88,85,83,94,85,77,86,30,73,70,78,75,75,75,47,48,75,58,32,52,98,88
Rudy Gobert,'20 NBA,86,1,0,0,0,0,C,85,68,60,25,97,61,67,76,92,72,81,61,67,55,82,45,25,54,79,92,87,80,25,32,25,35,55,87,61,94,95,62,71,94,37,84,97,92,87,87,95,89
Ben Simmons,'20 NBA,85,0,0,1,0,0,SF,82,88,44,33,80,58,80,90,81,85,75,70,74,71,80,85,82,80,78,95,80,86,79,80,75,70,79,65,78,78,85,73,75,85,57,55,86,75,57,70,85,92
DeMar DeRozan,'20 NBA,85,0,0,1,0,0,SF,79,87,85,45,97,80,92,93,52,87,79,83,37,75,91,79,83,85,54,95,82,92,79,78,72,70,76,47,74,71,78,78,79,82,43,48,80,62,33,63,95,88
Pascal Siakam,'20 NBA,85,0,1,0,0,0,PF,81,87,84,74,98,76,87,85,87,77,66,71,67,66,81,73,75,76,67,92,92,82,61,66,37,55,42,83,76,85,83,75,79,75,39,53,76,87,52,66,95,89
